migrate-1  | 2026-06-27T16:10:27.224761119Z ALTER TABLE
migrate-1  | 2026-06-27T16:10:27.249015701Z CREATE TABLE
migrate-1  | 2026-06-27T16:10:27.272249552Z CREATE TABLE
migrate-1  | 2026-06-27T16:10:27.297623267Z CREATE TABLE
migrate-1  | 2026-06-27T16:10:27.324313511Z CREATE TABLE
migrate-1  | 2026-06-27T16:10:27.345282700Z CREATE TABLE
migrate-1  | 2026-06-27T16:10:27.370228782Z CREATE TABLE
migrate-1  | 2026-06-27T16:10:27.395875836Z CREATE TABLE
migrate-1  | 2026-06-27T16:10:27.403675852Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:10:27.407816604Z ALTER TABLE
migrate-1  | 2026-06-27T16:10:27.413512174Z ALTER TABLE
migrate-1  | 2026-06-27T16:10:27.418750675Z ALTER TABLE
migrate-1  | 2026-06-27T16:10:27.425523556Z ALTER TABLE
migrate-1  | 2026-06-27T16:10:27.430835319Z ALTER TABLE
migrate-1  | 2026-06-27T16:10:27.436325516Z ALTER TABLE
migrate-1  | 2026-06-27T16:10:27.448391807Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:10:27.454411887Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:10:27.458768123Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:10:27.459142045Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:498: NOTICE:  trigger "wallet_ledger_append_only_trigger" for relation "wallet_ledger" does not exist, skipping
migrate-1  | 2026-06-27T16:10:27.459202981Z DROP TRIGGER
migrate-1  | 2026-06-27T16:10:27.470347050Z CREATE TRIGGER
migrate-1  | 2026-06-27T16:10:27.470816293Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:504: NOTICE:  trigger "item_stack_ledger_append_only_trigger" for relation "item_stack_ledger" does not exist, skipping
migrate-1  | 2026-06-27T16:10:27.470910298Z DROP TRIGGER
migrate-1  | 2026-06-27T16:10:27.475296578Z CREATE TRIGGER
migrate-1  | 2026-06-27T16:10:27.475647547Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:510: NOTICE:  trigger "item_stack_ledger_insert_integrity_trigger" for relation "item_stack_ledger" does not exist, skipping
migrate-1  | 2026-06-27T16:10:27.475650571Z DROP TRIGGER
migrate-1  | 2026-06-27T16:10:27.483047601Z CREATE TRIGGER
migrate-1  | 2026-06-27T16:10:27.510626070Z CREATE TABLE
migrate-1  | 2026-06-27T16:10:27.524749560Z CREATE INDEX
migrate-1  | 2026-06-27T16:10:27.538773627Z CREATE INDEX
migrate-1  | 2026-06-27T16:10:27.554337653Z CREATE INDEX
migrate-1  | 2026-06-27T16:10:27.568367335Z CREATE INDEX
migrate-1  | 2026-06-27T16:10:27.591010204Z CREATE INDEX
migrate-1  | 2026-06-27T16:10:27.611732560Z CREATE INDEX
migrate-1  | 2026-06-27T16:10:27.643586882Z CREATE INDEX
migrate-1  | 2026-06-27T16:10:27.659679168Z CREATE INDEX
migrate-1  | 2026-06-27T16:10:27.676304371Z CREATE INDEX
migrate-1  | 2026-06-27T16:10:27.693999511Z CREATE INDEX
migrate-1  | 2026-06-27T16:10:27.699513436Z CREATE INDEX
migrate-1  | 2026-06-27T16:10:27.706468645Z CREATE INDEX
migrate-1  | 2026-06-27T16:10:27.709773256Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:10:27.712459053Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:10:27.712914324Z DROP TRIGGER
migrate-1  | 2026-06-27T16:10:27.712923813Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:607: NOTICE:  trigger "trade_instance_remaining_quantity_invariant_trigger" for relation "trade_instance" does not exist, skipping
migrate-1  | 2026-06-27T16:10:27.714715881Z CREATE TRIGGER
migrate-1  | 2026-06-27T16:10:27.715189861Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:614: NOTICE:  trigger "item_stack_escrow_remaining_quantity_invariant_trigger" for relation "item_stack_escrow" does not exist, skipping
migrate-1  | 2026-06-27T16:10:27.715201723Z DROP TRIGGER
migrate-1  | 2026-06-27T16:10:27.716659346Z CREATE TRIGGER
migrate-1  | 2026-06-27T16:10:27.716949590Z DROP TRIGGER
migrate-1  | 2026-06-27T16:10:27.716968711Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:621: NOTICE:  trigger "item_stack_projection_ledger_invariant_trigger" for relation "item_stack" does not exist, skipping
migrate-1  | 2026-06-27T16:10:27.718866219Z CREATE TRIGGER
migrate-1  | 2026-06-27T16:10:27.719123548Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:628: NOTICE:  trigger "item_stack_ledger_projection_invariant_trigger" for relation "item_stack_ledger" does not exist, skipping
migrate-1  | 2026-06-27T16:10:27.719163582Z DROP TRIGGER
migrate-1  | 2026-06-27T16:10:27.720286670Z CREATE TRIGGER
migrate-1  | 2026-06-27T16:10:27.722501652Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:10:27.724554176Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:10:27.724892723Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:687: NOTICE:  trigger "trade_instance_wallet_escrow_closed_state_trigger" for relation "trade_instance" does not exist, skipping
migrate-1  | 2026-06-27T16:10:27.724919786Z DROP TRIGGER
migrate-1  | 2026-06-27T16:10:27.726602632Z CREATE TRIGGER
