simulator-1  | 2026-06-27T16:16:13.199530731Z Operations to perform:
simulator-1  | 2026-06-27T16:16:40.433341785Z [27/Jun/2026 16:16:40] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:40.465402002Z [27/Jun/2026 16:16:40] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1235
simulator-1  | 2026-06-27T16:16:40.477890074Z [27/Jun/2026 16:16:40] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1009
simulator-1  | 2026-06-27T16:16:40.674208408Z [27/Jun/2026 16:16:40] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:40.703891486Z [27/Jun/2026 16:16:40] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1235
simulator-1  | 2026-06-27T16:16:40.719377795Z [27/Jun/2026 16:16:40] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1009
simulator-1  | 2026-06-27T16:16:40.778441927Z [27/Jun/2026 16:16:40] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:40.914646776Z [27/Jun/2026 16:16:40] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:40.949427006Z [27/Jun/2026 16:16:40] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:41.026822298Z [27/Jun/2026 16:16:41] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1256
simulator-1  | 2026-06-27T16:16:41.043000843Z [27/Jun/2026 16:16:41] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1019
simulator-1  | 2026-06-27T16:16:41.237064150Z [27/Jun/2026 16:16:41] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:41.271889030Z [27/Jun/2026 16:16:41] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:41.322107882Z [27/Jun/2026 16:16:41] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1256
simulator-1  | 2026-06-27T16:16:41.348502741Z [27/Jun/2026 16:16:41] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1019
simulator-1  | 2026-06-27T16:16:41.584385092Z [27/Jun/2026 16:16:41] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:41.630995000Z [27/Jun/2026 16:16:41] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:41.715535198Z [27/Jun/2026 16:16:41] "POST /api/gui/buttons/3/press/ HTTP/1.1" 202 882
simulator-1  | 2026-06-27T16:16:41.782489342Z [27/Jun/2026 16:16:41] "POST /api/gui/buttons/3/press/ HTTP/1.1" 202 776
simulator-1  | 2026-06-27T16:16:41.992551893Z [27/Jun/2026 16:16:41] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:42.024048899Z [27/Jun/2026 16:16:42] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1247
simulator-1  | 2026-06-27T16:16:42.038649540Z [27/Jun/2026 16:16:42] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1018
simulator-1  | 2026-06-27T16:16:42.228866088Z [27/Jun/2026 16:16:42] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:42.260073986Z [27/Jun/2026 16:16:42] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1213
simulator-1  | 2026-06-27T16:16:42.347277514Z [27/Jun/2026 16:16:42] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1268
simulator-1  | 2026-06-27T16:16:42.366546126Z [27/Jun/2026 16:16:42] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1028
simulator-1  | 2026-06-27T16:16:42.564046096Z [27/Jun/2026 16:16:42] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:42.596260671Z [27/Jun/2026 16:16:42] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1213
simulator-1  | 2026-06-27T16:16:42.667347514Z [27/Jun/2026 16:16:42] "POST /api/gui/buttons/3/press/ HTTP/1.1" 202 894
simulator-1  | 2026-06-27T16:16:42.724609939Z [27/Jun/2026 16:16:42] "POST /api/gui/buttons/3/press/ HTTP/1.1" 202 785
simulator-1  | 2026-06-27T16:16:42.872680504Z [27/Jun/2026 16:16:42] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:42.909262731Z [27/Jun/2026 16:16:42] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:42.941258896Z [27/Jun/2026 16:16:42] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1235
simulator-1  | 2026-06-27T16:16:42.955227180Z [27/Jun/2026 16:16:42] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1009
simulator-1  | 2026-06-27T16:16:43.148891056Z [27/Jun/2026 16:16:43] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:43.170958558Z [27/Jun/2026 16:16:43] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1039
simulator-1  | 2026-06-27T16:16:43.377252204Z [27/Jun/2026 16:16:43] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:43.395192780Z [27/Jun/2026 16:16:43] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1039
simulator-1  | 2026-06-27T16:16:43.610523212Z [27/Jun/2026 16:16:43] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:43.650566404Z [27/Jun/2026 16:16:43] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1212
simulator-1  | 2026-06-27T16:16:43.685932017Z [27/Jun/2026 16:16:43] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1107
simulator-1  | 2026-06-27T16:16:43.884798933Z [27/Jun/2026 16:16:43] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:43.916800391Z [27/Jun/2026 16:16:43] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1212
simulator-1  | 2026-06-27T16:16:43.946941700Z [27/Jun/2026 16:16:43] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1107
