rabbitmq-1  | 2026-06-27T16:04:13.028750788Z 2026-06-27 16:04:13.028451+00:00 [info] <0.254.0> Running boot step guid_generator defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.031857805Z 2026-06-27 16:04:13.031479+00:00 [info] <0.254.0> Running boot step rabbit_node_monitor defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.032324574Z 2026-06-27 16:04:13.031973+00:00 [info] <0.586.0> Starting rabbit_node_monitor (in ignore mode)[0m
rabbitmq-1  | 2026-06-27T16:04:13.032706748Z 2026-06-27 16:04:13.032159+00:00 [info] <0.254.0> Running boot step delegate_sup defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.033504252Z 2026-06-27 16:04:13.033147+00:00 [info] <0.254.0> Running boot step rabbit_memory_monitor defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.033674613Z 2026-06-27 16:04:13.033429+00:00 [info] <0.254.0> Running boot step rabbit_fifo_dlx_sup defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.033784094Z 2026-06-27 16:04:13.033553+00:00 [info] <0.254.0> Running boot step core_initialized defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.034029704Z 2026-06-27 16:04:13.033614+00:00 [info] <0.254.0> Running boot step rabbit_channel_tracking_handler defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.034043558Z 2026-06-27 16:04:13.033688+00:00 [info] <0.254.0> Running boot step rabbit_connection_tracking_handler defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.034195312Z 2026-06-27 16:04:13.033759+00:00 [info] <0.254.0> Running boot step rabbit_definitions_hashing defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.034300062Z 2026-06-27 16:04:13.033900+00:00 [info] <0.254.0> Running boot step rabbit_exchange_parameters defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.096825595Z 2026-06-27 16:04:13.096249+00:00 [info] <0.254.0> Running boot step rabbit_mirror_queue_misc defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.097635381Z 2026-06-27 16:04:13.097071+00:00 [info] <0.254.0> Running boot step rabbit_policies defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.098013217Z 2026-06-27 16:04:13.097572+00:00 [info] <0.254.0> Running boot step rabbit_policy defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.098384408Z 2026-06-27 16:04:13.097695+00:00 [info] <0.254.0> Running boot step rabbit_queue_location_validator defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.098658439Z 2026-06-27 16:04:13.097772+00:00 [info] <0.254.0> Running boot step rabbit_quorum_memory_manager defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.098670994Z 2026-06-27 16:04:13.098178+00:00 [info] <0.254.0> Running boot step rabbit_quorum_queue defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.098846623Z 2026-06-27 16:04:13.098443+00:00 [info] <0.254.0> Running boot step rabbit_stream_coordinator defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.099142866Z 2026-06-27 16:04:13.098695+00:00 [info] <0.254.0> Running boot step rabbit_vhost_limit defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.099246178Z 2026-06-27 16:04:13.098956+00:00 [info] <0.254.0> Running boot step rabbit_federation_parameters defined by app rabbitmq_federation[0m
rabbitmq-1  | 2026-06-27T16:04:13.099685132Z 2026-06-27 16:04:13.099229+00:00 [info] <0.254.0> Running boot step rabbit_federation_supervisor defined by app rabbitmq_federation[0m
rabbitmq-1  | 2026-06-27T16:04:13.118627590Z 2026-06-27 16:04:13.117872+00:00 [info] <0.254.0> Running boot step rabbit_federation_queue defined by app rabbitmq_federation[0m
rabbitmq-1  | 2026-06-27T16:04:13.118718699Z 2026-06-27 16:04:13.118293+00:00 [info] <0.254.0> Running boot step rabbit_federation_upstream_exchange defined by app rabbitmq_federation[0m
rabbitmq-1  | 2026-06-27T16:04:13.119278418Z 2026-06-27 16:04:13.118930+00:00 [info] <0.254.0> Running boot step rabbit_mgmt_reset_handler defined by app rabbitmq_management[0m
